inventory_code;inventory_pool;serial_number;model_name;Kat1;Kat2;Kat3
AVZ11549;AV-Ausleihe;F4HC01075;DV-Kamera Panasonic GS 400;Videokameras SD Consumer
AVZ11550;AV-Ausleihe;F4HC01044;DV-Kamera Panasonic GS 400;Videokameras SD Consumer
AVZ12097;AV-Ausleihe;F4HC01005;DV-Kamera Panasonic GS 400;Videokameras SD Consumer
AVZ12098;AV-Ausleihe;B5HC00147;DV-Kamera Panasonic GS 400;Videokameras SD Consumer
AVZ12099;AV-Ausleihe;B5HC00121;DV-Kamera Panasonic GS 400;Videokameras SD Consumer
AVZ12100;AV-Ausleihe;B5HC00088;DV-Kamera Panasonic GS 400;Videokameras SD Consumer
AVZ12101;AV-Ausleihe;F4HC01056;DV-Kamera Panasonic GS 400;Videokameras SD Consumer
AVZ10713;AV-Ausleihe;1078395;DV-Kamera Sony TRV 950;Videokameras SD Consumer
AVZ10714;AV-Ausleihe;1078374;DV-Kamera Sony TRV 950;Videokameras SD Consumer
AVZ10715;AV-Ausleihe;1078371;DV-Kamera Sony TRV 950;Videokameras SD Consumer
AVZ10729;AV-Ausleihe;1078510;DV-Kamera Sony TRV 950;Videokameras SD Consumer
